Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
duckduckgo, ddg-privacy,0.439,15,0.960,147,0.022,0.002,25.877
duckduckgo, ddg-privacy,0.879,15,0.533,147,0.023,0.002,26.185
duckduckgo, ddg-privacy,0.899,15,0.133,147,0.023,0.001,25.485
duckduckgo, ddg-minipages,0.309,16,0.994,160,0.023,0.001,26.506
duckduckgo, ddg-minipages,0.289,16,0.931,160,0.025,0.002,26.232
duckduckgo, ddg-minipages,0.309,16,0.994,160,0.026,0.003,26.276
duckduckgo, ddg-large-blurb,0.270,5,1.000,40,0.006,0.001,10.856
duckduckgo, ddg-large-blurb,0.346,5,1.000,40,0.006,0.001,10.672
duckduckgo, ddg-large-blurb,0.270,5,1.000,40,0.006,0.001,10.544
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,6.241
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,6.221
duckduckgo, ddg-faq,0.217,1,1.000,0,0.000,0.000,6.290
