Group, Name, Avg RMS, Number of elements, Accuracy, Number of constraints, Prep time, Resize time, Synth time
ieee, ieee-footer,0.337,49,1.000,432,0.126,0.008,67.541
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.001,8.756
fwt-space, fwt-space-header,0.100,3,1.000,23,0.004,0.000,8.809
fwt-space, fwt-space-header,0.100,3,1.000,23,0.003,0.000,8.615
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.001,8.573
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.000,8.678
fwt-space, fwt-space-navigation,0.161,3,1.000,23,0.003,0.001,8.623
fwt-space, fwt-space-logo,0.139,11,1.000,155,0.020,0.002,24.517
fwt-space, fwt-space-logo,0.139,11,1.000,155,0.018,0.001,24.319
fwt-space, fwt-space-logo,0.139,11,1.000,155,0.017,0.001,24.420
fwt-space, fwt-space-featured,0.100,5,1.000,51,0.007,0.000,11.547
fwt-space, fwt-space-featured,0.100,5,1.000,51,0.007,0.000,11.338
